RESULTADOS INDIVIDUAIS DE 30 EXECUCOES - PROBLEMA 1
============================================================

Execucao | Busca Tabu
------------------------------
01       | 0.2115
02       | 0.2200
03       | 0.2130
04       | 0.1483
05       | 0.0576
06       | 0.2609
07       | 0.1313
08       | 0.1430
09       | 0.0570
10       | 0.1398
11       | 0.2345
12       | 0.1461
13       | 0.2217
14       | 0.1792
15       | 0.1128
16       | 0.0620
17       | 0.1645
18       | 0.1017
19       | 0.2776
20       | 0.2150
21       | 0.0922
22       | 0.1342
23       | 0.1670
24       | 0.2900
25       | 0.0619
26       | 0.1138
27       | 0.1617
28       | 0.0618
29       | 0.0919
30       | 0.1770
