RESULTADOS INDIVIDUAIS DE 30 EXECUCOES - PROBLEMA 1
============================================================

Execucao | Config_A (Estatica)
------------------------------
01       | 0.0000
02       | -4.5144
03       | 0.0000
04       | 0.0000
05       | 0.0000
06       | 0.0000
07       | 0.0000
08       | 0.0000
09       | 0.0000
10       | 0.0000
11       | -3.0361
12       | 0.0000
13       | 0.0000
14       | 0.0000
15       | 0.0000
16       | 0.0000
17       | 0.0000
18       | 0.0000
19       | 0.0000
20       | 0.0000
21       | 0.0000
22       | 0.0000
23       | 0.0000
24       | 0.0000
25       | 0.0000
26       | 0.0000
27       | 0.0000
28       | 0.0000
29       | 0.0000
30       | 0.0000
